"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1892-1893","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1893-1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1894-1895","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895-1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896-1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897-1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898-1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899-1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900-1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901-1902","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902-1903","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1903-1904","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1904-1905","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1905-1906","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1906-1907","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1907-1908","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1908-1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909-1910","M","M","M","T","T","4.0","6.0","5.0","0.0","M","0.0","M","M"
"1910-1911","0.0","M","M","M","5.3","1.0","3.2","6.5","M","1.0","0.0","M","M"
"1911-1912","M","M","M","M","9.5","M","5.5","0.0","3.0","0.0","M","M","M"
"1912-1913","M","M","M","1.0","M","M","M","4.0","1.5","0.0","M","M","M"
"1913-1914","M","M","0.0","1.3","3.0","12.7","7.3","2.0","T","0.0","M","M","M"
"1914-1915","M","0.0","M","M","M","M","9.8","1.3","M","0.0","M","M","M"
"1915-1916","M","M","M","0.0","10.2","14.0","22.3","M","11.0","1.0","M","M","M"
"1916-1917","0.0","M","M","M","5.5","11.0","6.5","8.5","8.8","2.0","M","0.0","M"
"1917-1918","M","0.0","M","T","1.0","7.5","M","8.0","7.8","M","M","M","M"
"1918-1919","M","M","M","M","M","7.0","6.0","23.0","7.0","0.0","M","0.0","M"
"1919-1920","M","M","M","M","7.1","M","5.0","M","2.0","M","M","M","M"
"1920-1921","M","M","M","0.0","0.0","M","M","2.1","1.5","M","0.0","M","M"
"1921-1922","0.0","0.0","0.0","0.0","14.5","M","M","10.5","M","4.0","0.0","0.0","M"
"1922-1923","0.0","M","M","0.0","1.0","28.0","M","22.0","2.0","M","M","M","M"
"1923-1924","0.0","M","M","M","0.1","11.0","M","0.0","M","0.0","M","M","M"
"1924-1925","M","M","M","M","3.5","M","M","1.0","1.8","0.0","0.0","M","M"
"1925-1926","M","M","M","0.0","8.0","6.5","M","M","M","M","M","M","M"
"1926-1927","M","M","T","M","0.8","M","M","16.0","M","M","M","M","M"
"1927-1928","M","M","M","M","5.6","7.5","9.9","1.8","T","T","0.0","0.0","M"
"1928-1929","0.0","0.0","0.0","0.0","1.1","11.7","16.0","3.0","0.5","0.7","M","M","M"
"1929-1930","M","M","M","M","M","4.8","8.8","5.0","5.2","M","M","M","M"
"1930-1931","0.0","0.0","M","M","12.0","M","M","M","2.5","T","M","M","M"
"1931-1932","M","M","M","0.5","M","29.0","M","7.5","9.3","M","M","M","M"
"1932-1933","M","M","M","1.2","4.8","M","24.5","10.0","M","3.5","T","0.0","M"
"1933-1934","0.0","0.0","M","5.0","M","8.5","M","T","0.0","M","0.0","0.0","M"
"1934-1935","0.0","M","0.0","M","3.5","12.8","M","4.5","M","2.0","M","M","M"
"1935-1936","M","M","M","8.5","2.5","2.5","M","M","M","M","M","M","M"
"1936-1937","M","M","M","M","M","17.8","M","M","M","1.5","M","0.0","M"
"1937-1938","M","M","M","M","7.8","M","M","M","5.5","M","T","0.0","M"
"1938-1939","M","M","M","M","M","9.5","12.3","M","13.3","M","M","M","M"
"1939-1940","M","M","M","4.5","M","M","M","M","M","M","M","M","M"
"1940-1941","M","M","M","0.0","M","2.1","11.6","2.0","M","0.0","M","M","M"
"1941-1942","M","M","M","M","M","M","3.5","12.0","5.7","T","M","M","M"
"1942-1943","M","M","M","M","M","M","16.5","13.7","T","0.0","T","0.0","M"
"1943-1944","0.0","0.0","0.0","0.5","0.2","1.2","5.7","8.3","T","T","0.0","0.0","15.9"
"1944-1945","0.0","0.0","0.0","0.0","5.2","4.3","4.3","M","M","2.2","0.0","0.0","M"
"1945-1946","0.0","0.0","0.0","0.3","M","5.2","7.5","4.7","0.7","0.0","0.0","0.0","M"
"1946-1947","0.0","0.0","0.0","0.7","13.8","2.2","7.7","1.8","6.2","2.5","0.0","0.0","34.9"
"1947-1948","0.0","M","0.0","0.0","2.2","16.2","7.0","7.5","T","2.0","T","0.0","M"
"1948-1949","0.0","0.0","0.0","T","5.5","32.1","4.0","17.6","7.7","0.0","0.0","0.0","66.9"
"1949-1950","0.0","0.0","0.0","0.0","T","9.2","45.1","10.7","7.9","2.0","T","0.0","74.9"
"1950-1951","0.0","0.0","0.0","0.0","10.8","3.4","22.4","11.7","15.1","0.0","0.0","0.0","63.4"
"1951-1952","0.0","0.0","0.0","1.1","2.4","25.9","30.8","5.2","1.0","0.0","0.0","0.0","66.4"
"1952-1953","0.0","0.0","0.0","0.0","0.0","20.1","8.7","4.3","1.5","0.3","T","0.0","34.9"
"1953-1954","0.0","0.0","0.0","0.0","T","4.7","38.6","1.3","0.8","T","0.0","0.0","45.4"
"1954-1955","0.0","0.0","0.0","0.0","0.0","3.6","14.1","12.8","3.5","8.0","T","0.0","42.0"
"1955-1956","T","0.0","0.0","0.0","23.6","22.3","14.0","M","4.1","0.3","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","4.0","2.8","7.5","18.6","2.0","8.8","T","0.0","0.0","43.7"
"1957-1958","0.0","0.0","0.0","5.5","2.8","4.8","4.1","T","2.5","0.0","0.0","0.0","19.7"
"1958-1959","0.0","0.0","0.0","0.0","5.0","7.6","15.4","19.0","0.8","0.0","T","0.0","47.8"
"1959-1960","0.0","0.0","0.0","0.0","7.9","6.4","8.5","5.0","4.8","0.5","0.0","0.0","33.1"
"1960-1961","0.0","0.0","0.0","0.0","5.5","8.5","7.0","8.1","8.0","0.0","0.0","0.0","37.1"
"1961-1962","0.0","0.0","0.0","0.0","11.5","25.5","11.0","2.5","16.5","T","0.0","0.0","67.0"
"1962-1963","0.0","0.0","0.0","0.0","4.5","T","3.1","7.7","2.4","0.5","0.0","0.0","18.2"
"1963-1964","0.0","0.0","0.0","0.0","T","14.5","22.6","2.5","5.6","3.5","0.0","0.0","48.7"
"1964-1965","0.0","0.0","0.0","0.0","13.9","32.5","M","M","M","M","M","M","M"
"1965-1966","0.0","0.0","0.0","0.0","M","M","18.0","T","8.0","M","M","0.0","M"
"1966-1967","0.0","0.0","0.0","T","T","8.0","3.2","2.8","2.5","T","T","0.0","16.5"
"1967-1968","0.0","0.0","0.0","M","M","M","M","M","M","M","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","T","M","53.8","5.8","4.0","T","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","T","9.6","13.8","2.5","6.0","T","0.0","0.0","31.9"
"1970-1971","0.0","0.0","0.0","T","4.7","15.0","9.1","5.5","2.0","0.0","0.0","0.0","36.3"
"1971-1972","0.0","0.0","0.0","M","4.2","32.7","13.2","5.0","2.4","T","0.0","0.0","M"
"1972-1973","0.0","0.0","0.0","1.2","T","7.1","8.9","4.6","T","0.0","0.0","0.0","21.8"
"1973-1974","0.0","0.0","0.0","0.0","28.3","5.5","9.0","3.0","0.5","T","T","0.0","46.3"
"1974-1975","0.0","0.0","0.0","0.0","T","12.9","19.5","21.3","3.4","3.0","T","0.0","60.1"
"1975-1976","0.0","M","0.0","1.5","6.6","8.9","11.1","4.5","3.5","T","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","4.0","4.9","T","4.6","0.0","0.0","0.0","13.5"
"1977-1978","0.0","0.0","0.0","0.0","8.2","25.6","9.5","9.0","5.5","0.0","0.0","0.0","57.8"
"1978-1979","0.0","0.0","0.0","0.0","6.6","11.4","10.3","7.2","T","T","0.0","0.0","35.5"
"1979-1980","0.0","0.0","0.0","0.0","7.0","12.8","12.4","M","2.0","T","0.0","M","M"
"1980-1981","0.0","0.0","0.0","0.0","0.4","6.6","2.2","1.0","0.0","0.0","0.0","0.0","10.2"
"1981-1982","0.0","0.0","0.0","0.0","0.0","M","25.0","1.0","1.0","1.0","0.0","0.0","M"
"1982-1983","0.0","0.0","M","T","3.0","15.0","8.3","5.5","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","3.5","17.7","4.9","5.0","0.0","T","0.0","0.0","31.1"
"1984-1985","0.0","0.0","0.0","T","10.7","M","3.3","13.2","5.0","T","M","M","M"
"1985-1986","0.0","0.0","0.0","1.0","20.3","4.0","14.0","M","0.0","1.0","0.0","0.0","M"
"1986-1987","0.0","0.0","M","0.0","2.5","6.5","11.1","M","T","0.0","0.0","0.0","M"
"1987-1988","0.0","0.0","0.0","0.0","T","14.5","7.5","T","3.0","0.0","0.0","0.0","25.0"
"1988-1989","0.0","0.0","0.0","0.0","M","9.1","6.1","13.5","5.4","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","M","5.0","0.5","6.0","16.0","T","M","M","0.0","M"
"1990-1991","0.0","0.0","0.0","0.0","T","11.0","8.0","T","2.0","0.0","0.0","0.0","M"
"1991-1992","0.0","0.0","0.0","T","M","2.0","6.5","0.2","0.0","0.0","0.0","0.0","M"
"1992-1993","0.0","0.0","0.0","0.0","M","22.0","9.5","10.0","1.0","T","0.0","0.0","M"
"1993-1994","0.0","0.0","0.0","0.0","T","M","0.0","3.0","0.0","0.0","0.0","0.0","M"
"1994-1995","0.0","0.0","0.0","0.0","M","3.5","4.0","3.0","2.0","0.0","0.0","0.0","M"
"1995-1996","0.0","0.0","0.0","0.0","6.0","4.0","M","0.0","0.0","0.0","0.0","M","M"
"1996-1997","0.0","0.0","0.0","3.0","15.0","M","4.0","10.0","M","0.0","0.0","0.0","M"
"1997-1998","M","0.0","0.0","0.0","1.3","5.8","9.6","0.3","0.5","0.0","0.0","0.0","M"
"1998-1999","0.0","0.0","0.0","0.0","T","8.0","7.3","7.0","0.6","2.0","0.0","0.0","24.9"
"1999-2000","M","0.0","0.0","0.0","0.5","4.2","16.3","6.2","2.5","0.0","0.0","0.0","M"
"2000-2001","0.0","0.0","0.0","0.0","10.5","10.0","M","7.9","1.5","0.0","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","0.0","4.9","17.2","3.5","7.2","6.8","0.0","M","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","7.2","7.8","0.0","1.0","T","0.0","0.0","16.0"
"2003-2004","0.0","0.0","0.0","0.0","10.5","7.6","20.4","9.8","2.2","0.0","0.0","0.0","50.5"
"2004-2005","0.0","0.0","0.0","0.0","2.0","6.1","16.8","T","1.0","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","5.9","3.0","5.7","0.7","3.7","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","6.3","5.1","M","9.1","0.0","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","2.7","20.5","27.8","7.0","9.2","T","0.0","0.0","67.2"
"2008-2009","0.0","0.0","0.0","0.0","0.6","48.9","15.0","1.0","1.0","3.5","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","1.0","3.7","4.5","2.4","0.3","0.0","T","0.0","0.0","11.9"
"2010-2011","0.0","0.0","0.0","0.0","20.7","20.9","3.9","5.6","0.5","T","0.0","0.0","51.6"
"2011-2012","0.0","0.0","0.0","0.0","4.1","2.1","8.7","2.1","5.7","T","0.0","0.0","22.7"
"2012-2013","0.0","0.0","0.0","T","5.8","18.2","10.2","2.4","0.7","T","0.0","0.0","37.3"
"2013-2014","0.0","0.0","0.0","0.0","1.1","2.7","7.0","8.9","3.9","0.0","0.0","0.0","23.6"
"2014-2015","0.0","0.0","0.0","0.0","T","0.9","4.2","0.2","T","T","0.0","0.0","5.3"
"2015-2016","0.0","0.0","0.0","0.0","2.1","27.4","4.9","1.2","T","0.0","0.0","0.0","35.6"
"2016-2017","0.0","0.0","0.0","0.0","1.6","15.3","8.0","15.4","3.9","0.2","0.0","0.0","44.4"
"2017-2018","0.0","0.0","0.0","0.0","4.1","8.0","8.2","8.1","6.0","0.0","0.0","0.0","34.4"
"2018-2019","0.0","0.0","0.0","0.0","T","9.2","4.8","20.8","4.2","0.0","0.0","0.0","39.0"
"2019-2020","0.0","0.0","1.3","T","T","8.0","12.9","3.7","3.8","0.4","0.0","0.0","30.1"
"2020-2021","0.0","0.0","0.0","3.2","8.2","16.6","2.0","5.9","T","T","0.0","0.0","35.9"
"2021-2022","0.0","0.0","0.0","T","1.9","13.8","7.0","0.7","0.0","1.2","0.0","0.0","24.6"