Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Yield Pounds per Acre
SURVEY,2021,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"39,300"
SURVEY,2020,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"39,500"
SURVEY,2019,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"44,200"
SURVEY,2018,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"39,400"
SURVEY,2017,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"45,500"
SURVEY,2016,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"44,400"
SURVEY,2015,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"36,800"
SURVEY,2014,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"48,400"
SURVEY,2013,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"38,600"
SURVEY,2012,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"43,600"
SURVEY,2011,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"36,600"
SURVEY,2010,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"37,000"
SURVEY,2009,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"34,000"
SURVEY,2008,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"36,900"
SURVEY,2007,YEAR,STATE,WASHINGTON,APPLES,"APPLES - YIELD, MEASURED IN LB / ACRE",TOTAL,"34,000"